"CurveID","Model","Parameter","Estimate"
"C021","Cubic","poly(Time, 3, raw = TRUE)3",-9.07607192384646e-05
"C021","Gompertz","N_0",0.148267944505959
"C021","Gompertz","N_max",2.62863382453756
"C021","Gompertz","r_max",0.298553110642838
"C021","Gompertz","t_lag",18.6062704935757
"C021","Quadratic","(Intercept)",-0.121764010803783
"C021","Quadratic","poly(Time, 2, raw = TRUE)1",0.0241239903499173
"C021","Quadratic","poly(Time, 2, raw = TRUE)2",0.000828960291921779
"C022","Cubic","(Intercept)",0.421897135846348
"C022","Cubic","poly(Time, 3, raw = TRUE)1",-0.00938841935103473
"C022","Cubic","poly(Time, 3, raw = TRUE)2",6.86202270664494e-05
"C022","Cubic","poly(Time, 3, raw = TRUE)3",-7.97649172794866e-08
"C022","Gompertz","N_0",0.189814546840276
"C022","Gompertz","N_max",2.88739875022544
"C022","Gompertz","r_max",0.0283898994381013
"C022","Gompertz","t_lag",173.667417978948
"C022","Quadratic","(Intercept)",-0.586736542642064
"C022","Quadratic","poly(Time, 2, raw = TRUE)1",0.00772105851431491
"C022","Quadratic","poly(Time, 2, raw = TRUE)2",-1.88745337713325e-06
"C023","Cubic","(Intercept)",0.239841065150164
"C023","Cubic","poly(Time, 3, raw = TRUE)1",-0.00717386562269325
"C023","Cubic","poly(Time, 3, raw = TRUE)2",5.85247918167994e-05
"C023","Cubic","poly(Time, 3, raw = TRUE)3",-6.89114615423166e-08
"C023","Gompertz","N_0",0.0971702543606481
"C023","Gompertz","N_max",2.56957568441447
"C023","Gompertz","r_max",0.0277071636312787
"C023","Gompertz","t_lag",170.390530286473
"C023","Quadratic","(Intercept)",-0.655289606570939
"C023","Quadratic","poly(Time, 2, raw = TRUE)1",0.00774025002632456
"C023","Quadratic","poly(Time, 2, raw = TRUE)2",-2.56154065576581e-06
"C024","Cubic","(Intercept)",0.388881816844717
"C024","Cubic","poly(Time, 3, raw = TRUE)1",-0.00800315976493931
"C024","Cubic","poly(Time, 3, raw = TRUE)2",5.79548352963508e-05
"C024","Cubic","poly(Time, 3, raw = TRUE)3",-6.5465642485467e-08
"C024","Gompertz","N_0",0.182594062319086
"C024","Gompertz","N_max",2.59957373553304
"C024","Gompertz","r_max",0.0254455824036634
"C024","Gompertz","t_lag",178.150688178249
"C024","Quadratic","(Intercept)",-0.493905291339756
"C024","Quadratic","poly(Time, 2, raw = TRUE)1",0.00653548724180892
"C024","Quadratic","poly(Time, 2, raw = TRUE)2",-8.43295093217792e-07
"C025","Cubic","(Intercept)",1.28200651198704
"C025","Cubic","poly(Time, 3, raw = TRUE)1",-0.0265327383810981
"C025","Cubic","poly(Time, 3, raw = TRUE)2",0.000159064202629712
"C025","Cubic","poly(Time, 3, raw = TRUE)3",-1.92665902491362e-07
"C025","Gompertz","N_0",0.121783335079454
"C025","Gompertz","N_max",4.07187145540463
"C025","Gompertz","r_max",0.0430633582765705
"C025","Gompertz","t_lag",168.061799220946
