"CurveID","CurveLabel","Species","Temp","Medium","Rep","BestModel","BestAIC","BestBIC","SuccessfulModels"
"C045","Aerobic Psychotropic._4_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",4,"Salted Chicken Breast",1,"Gompertz",-8.32241820532652,-9.36362085918625,3
"C046","Aerobic Psychotropic._7_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",7,"Cooked Chicken Breast",1,"Gompertz",-8.31266649992195,-5.11737985184565,3
"C047","Aerobic Psychotropic._7_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",7,"Raw Chicken Breast",1,"Cubic",-6.14646308433642,-3.32171629702874,3
"C048","Aerobic Psychotropic._7_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",7,"Salted Chicken Breast",1,"Cubic",-19.2064681866434,-15.6662171811323,3
"C049","Arthrobacter aurescens_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter aurescens",0,"TGE agar",1,"Gompertz",-32.6571029505278,-28.4910362302467,3
"C050","Arthrobacter aurescens_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter aurescens",20,"TGE agar",1,"Gompertz",-15.2448751191975,-14.8476674107983,3
"C051","Arthrobacter aurescens_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter aurescens",30,"TGE agar",1,"Cubic",-14.6985881712254,-16.6513986090549,3
"C052","Arthrobacter aurescens_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter aurescens",37,"TGE agar",1,"Gompertz",-55.4580015178202,-55.060793809421,3
"C053","Arthrobacter aurescens_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter aurescens",7,"TGE agar",1,"Gompertz",-25.1880174132894,-23.1985410492975,3
"C054","Arthrobacter citreus_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter citreus",0,"TGE agar",1,"Gompertz",-55.4022769435319,-52.2069902954556,3
"C055","Arthrobacter citreus_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter citreus",20,"TGE agar",1,"Gompertz",-10.5095071638176,-10.1122994554184,3
"C056","Arthrobacter citreus_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter citreus",30,"TGE agar",1,"Gompertz",-9.80086703256043,-8.81474414587933,3
"C057","Arthrobacter citreus_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter citreus",37,"TGE agar",1,"Gompertz",14.3641957698922,15.3503186565733,3
"C058","Arthrobacter citreus_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter citreus",7,"TGE agar",1,"Gompertz",-22.8146241727355,-21.3016987077653,3
"C059","Arthrobacter globiformis_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter globiformis",0,"TGE agar",1,"Quadratic",-188.022747085851,-184.244991169185,3
"C060","Arthrobacter globiformis_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter globiformis",20,"TGE agar",1,"Cubic",-9.51014190191475,-9.11293419351557,3
"C061","Arthrobacter globiformis_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter globiformis",30,"TGE agar",1,"Cubic",1.20289985809541,1.60010756649459,3
"C062","Arthrobacter globiformis_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter globiformis",37,"TGE agar",1,"Gompertz",-5.98588247524662,-6.25633172997006,3
"C063","Arthrobacter globiformis_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter globiformis",7,"TGE agar",1,"Gompertz",-38.9903057525911,-34.82423903231,3
"C064","Arthrobacter simplex_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter simplex",0,"TGE agar",1,"Quadratic",-171.978446775711,-168.416959744126,3
"C065","Arthrobacter simplex_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter simplex",20,"TGE agar",1,"Gompertz",-12.2664913133815,-12.536940568105,3
"C066","Arthrobacter simplex_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter simplex",30,"TGE agar",1,"Cubic",-7.21870544640673,-6.82149773800755,3
"C067","Arthrobacter simplex_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter simplex",37,"TGE agar",1,"Gompertz",-15.2643786353252,-14.867170926926,3
"C068","Arthrobacter simplex_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter simplex",7,"TGE agar",1,"Gompertz",-27.4141565217095,-24.2188698736332,3
"C069","Arthrobacter sp. 62_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 62",0,"TGE agar",1,"Gompertz",-32.3847500830817,-27.9328912936009,3
"C070","Arthrobacter sp. 62_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 62",20,"TGE agar",1,"Gompertz",-19.1618672406611,-18.17574435398,3
"C071","Arthrobacter sp. 62_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 62",30,"TGE agar",1,"Quadratic",-87.4793176481703,-86.2689772761941,3
"C072","Arthrobacter sp. 62_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 62",37,"TGE agar",1,"Quadratic",-148.945031205968,-145.854676317009,3
"C073","Arthrobacter sp. 62_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 62",7,"TGE agar",1,"Gompertz",-5.02649312619866,-2.60195987725866,3
"C074","Arthrobacter sp. 77_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 77",0,"TGE agar",1,"Gompertz",-37.3843885612967,-32.6621936654645,3
"C075","Arthrobacter sp. 77_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 77",20,"TGE agar",1,"Gompertz",-13.7677964441991,-14.0382456989225,3
"C076","Arthrobacter sp. 77_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 77",30,"TGE agar",1,"Gompertz",-22.9413913197865,-21.4284658548163,3
"C077","Arthrobacter sp. 77_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 77",37,"TGE agar",1,"Cubic",-159.540071894429,-155.374005174148,3
"C078","Arthrobacter sp. 77_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 77",7,"TGE agar",1,"Gompertz",-11.3329018530253,-8.5081550657176,3
"C079","Arthrobacter sp. 88_0_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 88",0,"TGE agar",1,"Gompertz",-48.1488722027279,-45.3241254154202,3
"C080","Arthrobacter sp. 88_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 88",20,"TGE agar",1,"Gompertz",-4.65648663964703,-1.46119999157074,3
"C081","Arthrobacter sp. 88_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 88",30,"TGE agar",1,"Gompertz",-10.4538384940519,-8.46436213006005,3
"C082","Arthrobacter sp. 88_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 88",37,"TGE agar",1,"Quadratic",-145.503576514733,-142.413221625774,3
"C083","Arthrobacter sp. 88_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.","Arthrobacter sp. 88",7,"TGE agar",1,"Cubic",-40.6527856177823,-39.6666627311012,3
"C084","Bacillus.pumilus..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus..RDA.R.",15,"TSB",1,"Gompertz",-27.2388591343503,-21.7836468675587,3
"C085","Bacillus.pumilus..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus..RDA.R.",25,"TSB",1,"Gompertz",0.740269210753688,4.28052021626474,3
"C086","Bacillus.pumilus..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus..RDA.R.",35,"TSB",1,"Gompertz",-10.3328758975797,-6.16680917729861,3
"C087","Bacillus.pumilus..RDA.R._5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus..RDA.R.",5,"TSB",1,"Cubic",19.5905494598438,21.103474924814,2
"C088","Bacillus.pumilus_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus",15,"TSB",1,"Cubic",-35.4982414538139,-30.0430291870223,3
"C089","Bacillus.pumilus_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus",25,"TSB",1,"Gompertz",-12.968322421423,-9.77303577334671,3
