CurveID,CurveLabel,Species,Temp,Medium,Rep,TimeUnits,PopBioUnits,NObservations,UniqueTimeValues,MinTime,MaxTime,MinPopBio,MaxPopBio,PopBioRange
C189,"Pseudomonas spp._2_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,2.000000,Cooked Chicken Breast,1,Hours,CFU,10,10,48.232323,629.491342,1.209973,2567.928190,2566.718216
C035,"Aerobic Psychotropic._15_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,15.000000,Raw Chicken Breast,1,Hours,CFU,10,10,10.679612,102.427184,1.157591,1487.538544,1486.380952
C019,"Aerobic Mesophilic._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,20.000000,Cooked Chicken Breast,1,Hours,CFU,10,10,3.487237,49.968435,1.438130,1457.572272,1456.134142
C014,"Aerobic Mesophilic._10_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,10.000000,Raw Chicken Breast,1,Hours,CFU,10,10,23.868313,165.432099,0.979382,819.204161,818.224779
C256,"Staphylococcus spp._2_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,2.000000,Salted Chicken Breast,1,Hours,CFU,10,10,50.333580,581.467754,0.995316,663.582099,662.586783
C041,"Aerobic Psychotropic._2_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,2.000000,Raw Chicken Breast,1,Hours,CFU,10,10,72.330097,550.970874,1.075914,610.717287,609.641373
C024,"Aerobic Mesophilic._2_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,2.000000,Salted Chicken Breast,1,Hours,CFU,10,10,48.433048,555.286093,1.238534,397.716616,396.478081
C042,"Aerobic Psychotropic._2_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,2.000000,Salted Chicken Breast,1,Hours,CFU,10,10,49.099136,576.367413,1.115298,396.053647,394.938349
C023,"Aerobic Mesophilic._2_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,2.000000,Raw Chicken Breast,1,Hours,CFU,10,10,48.148148,547.736626,1.021052,371.172408,370.151356
C076,"Arthrobacter sp. 77_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter sp. 77,30.000000,TGE agar,1,Hours,CFU,10,10,1.739219,213.598454,2.745634,262.862955,260.117321
