"CurveID","CurveLabel","Species","Temp","Medium","Rep","Model","ResponseScale","FitStatus","NInput","NPositiveUsed","NNonPositiveRemoved","UniqueTimeValues","AIC","BIC","RSS","RMSE","R2"
"C011","Acinetobacter.clacoaceticus.2_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",35,"TSB",1,"Quadratic","log10(PopBio)","success",16,16,0,16,10.6627439239312,13.7530988128903,1.10642395349592,0.262966722407028,0.594681434173644
"C012","Acinetobacter.clacoaceticus.2_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",5,"TSB",1,"Cubic","log10(PopBio)","success",29,29,0,29,-92.8790821200552,-86.0426029701228,0.0488922788211285,0.0410602076103425,0.978959940855861
"C012","Acinetobacter.clacoaceticus.2_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",5,"TSB",1,"Gompertz","log10(PopBio)","success",29,29,0,29,-83.6441517557924,-76.80767260586,0.0672263552138712,0.0481471720850629,0.971070145964775
"C012","Acinetobacter.clacoaceticus.2_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",5,"TSB",1,"Quadratic","log10(PopBio)","success",29,29,0,29,-57.078561142962,-51.6093778230161,0.180023199245896,0.0787889365692961,0.922529715309281
"C013","Aerobic Mesophilic._10_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Cooked Chicken Breast",1,"Cubic","log10(PopBio)","success",11,11,0,11,2.20279470675769,4.19227107074954,0.317011052921902,0.169762147221528,0.981591115865849
"C013","Aerobic Mesophilic._10_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Cooked Chicken Breast",1,"Gompertz","log10(PopBio)","success",11,11,0,11,-1.59614598219358,0.39333038179827,0.22443326357895,0.142839154162025,0.986967123363702
"C013","Aerobic Mesophilic._10_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Cooked Chicken Breast",1,"Quadratic","log10(PopBio)","success",11,11,0,11,13.0971098156853,14.6886909068788,1.02366756053914,0.305058498196232,0.940555455905519
"C014","Aerobic Mesophilic._10_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Raw Chicken Breast",1,"Cubic","log10(PopBio)","success",10,10,0,10,-1.70901621499014,-0.196090750019913,0.18155555301089,0.134742551931782,0.984472578803507
"C014","Aerobic Mesophilic._10_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Raw Chicken Breast",1,"Gompertz","log10(PopBio)","success",10,10,0,10,-11.0484088418316,-9.53548337686135,0.071351789299266,0.08446998833862,0.993897684388058
"C014","Aerobic Mesophilic._10_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Raw Chicken Breast",1,"Quadratic","log10(PopBio)","success",10,10,0,10,7.85096834212553,9.06130871410171,0.576837235838675,0.240174360796209,0.950666368645026
"C015","Aerobic Mesophilic._10_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Salted Chicken Breast",1,"Cubic","log10(PopBio)","success",12,12,0,12,-6.07934801346662,-3.65481476452662,0.183982233258997,0.123821859021673,0.983855420189982
"C015","Aerobic Mesophilic._10_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Salted Chicken Breast",1,"Gompertz","log10(PopBio)","success",12,12,0,12,-16.1223844492424,-13.6978512003024,0.079672102375499,0.0814821567254139,0.99300871289228
"C015","Aerobic Mesophilic._10_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",10,"Salted Chicken Breast",1,"Quadratic","log10(PopBio)","success",12,12,0,12,-2.40450627055367,-0.464879671401667,0.295226445324951,0.156850896640979,0.974093656631144
"C016","Aerobic Mesophilic._15_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Cooked Chicken Breast",1,"Cubic","log10(PopBio)","success",9,9,0,9,-4.55564915203028,-3.56952626534918,0.104564953162937,0.107788348763747,0.992091775561043
"C016","Aerobic Mesophilic._15_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Cooked Chicken Breast",1,"Gompertz","log10(PopBio)","success",9,9,0,9,-11.0805620413697,-10.0944391546886,0.0506438660461746,0.0750139735472847,0.996169815535369
"C016","Aerobic Mesophilic._15_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Cooked Chicken Breast",1,"Quadratic","log10(PopBio)","success",9,9,0,9,6.4313853445677,7.22028365391258,0.442664555714102,0.221776803644791,0.966521376887118
"C017","Aerobic Mesophilic._15_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Raw Chicken Breast",1,"Cubic","log10(PopBio)","success",9,9,0,9,-3.77821745162577,-2.79209456494467,0.113999007216385,0.112545796711277,0.989297557183984
"C017","Aerobic Mesophilic._15_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Raw Chicken Breast",1,"Gompertz","log10(PopBio)","success",9,9,0,9,-5.69824179162974,-4.71211890494865,0.092098043696024,0.10115886499079,0.991353661139762
"C017","Aerobic Mesophilic._15_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Raw Chicken Breast",1,"Quadratic","log10(PopBio)","success",9,9,0,9,-1.52967445211243,-0.740776142767556,0.182773937135074,0.142506895402399,0.982840836440503
"C018","Aerobic Mesophilic._15_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Salted Chicken Breast",1,"Cubic","log10(PopBio)","success",8,8,0,8,-3.28944365436282,-2.89223594596364,0.0889557715608131,0.105448904428171,0.987028801892459
"C018","Aerobic Mesophilic._15_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Salted Chicken Breast",1,"Gompertz","log10(PopBio)","success",8,8,0,8,-8.76567626515115,-8.36846855675197,0.044862857314861,0.0748856272215011,0.993458265836033
"C018","Aerobic Mesophilic._15_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",15,"Salted Chicken Breast",1,"Quadratic","log10(PopBio)","success",8,8,0,8,-1.67473987310257,-1.35697370638323,0.139767072634383,0.132177471905381,0.979619687893862
"C019","Aerobic Mesophilic._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",20,"Cooked Chicken Breast",1,"Cubic","log10(PopBio)","success",10,10,0,10,-26.3281980747348,-24.8152726097646,0.0154814649406564,0.0393464927797338,0.998832425280233
"C019","Aerobic Mesophilic._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",20,"Cooked Chicken Breast",1,"Gompertz","log10(PopBio)","success",10,10,0,10,-5.92434894897498,-4.41142348400475,0.119107733927189,0.10913648973977,0.99101718218559
"C019","Aerobic Mesophilic._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",20,"Cooked Chicken Breast",1,"Quadratic","log10(PopBio)","success",10,10,0,10,6.48635895540538,7.69669932738157,0.503256107774711,0.224333704060427,0.962045639010371
"C020","Aerobic Mesophilic._20_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",20,"Raw Chicken Breast",1,"Cubic","log10(PopBio)","success",8,8,0,8,-10.9128577470671,-10.5156500386679,0.0343023044096251,0.0654812038008094,0.994313059751659
"C020","Aerobic Mesophilic._20_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",20,"Raw Chicken Breast",1,"Gompertz","log10(PopBio)","success",8,8,0,8,-0.598682565073812,-0.201474856674633,0.124522252343733,0.124760897491829,0.979355596632483
